#,Reference,Designation,Unite,Fournisseur,PU_HT,PU_TTC
146,SGU-TR5030,Tube Rectangle 50×30×1.5mm,ML,SGUIFER,120.8,145
147,SGU-TR50302,Tube Rectangle 50×30×2mm,ML,SGUIFER,162.5,195
148,SGU-TR50306,Tube Rectangle 50×30 6m,ML,SGUIFER,333.3,400
149,SGU-TR7040,Tube Rectangle 70×40×1.5mm,ML,SGUIFER,162.5,195
150,SGU-TR7030,Tube Rectangle 70×30×1.5mm,ML,SGUIFER,162.5,195
151,SGU-RD13,Tube Rond 13×2mm,ML,SGUIFER,62.5,75
152,SGU-RD16,Tube Rond 16×2mm,ML,SGUIFER,68.33,82
153,SGU-RD20,Tube Rond 20×2 6m,ML,SGUIFER,79.17,95
154,SGU-RD25,Tube Rond 25×1.5mm,ML,SGUIFER,83.33,100
155,SGU-RD252,Tube Rond 25×2mm,ML,SGUIFER,91.67,110
156,SGU-RD27,Tube Rond 27×2mm,ML,SGUIFER,83.33,100
157,SGU-RD33,Tube Rond 33×1.5mm,ML,SGUIFER,87.5,105
158,SGU-RD332,Tube Rond 33×2mm,ML,SGUIFER,108.3,130
159,SGU-RD40,Tube Rond 40×2mm,ML,SGUIFER,150,180
160,SGU-FP10,Fer Plat 10/03,ML,SGUIFER,15.83,19
161,SGU-FP14,Fer Plat 14/03,ML,SGUIFER,22.08,26.5
162,SGU-FP20,Fer Plat 20×5mm,ML,SGUIFER,52.5,63
163,SGU-FP30,Fer Plat 30/04,ML,SGUIFER,45.83,55
164,SGU-FP50,Fer Plat 50×5mm,ML,SGUIFER,125,150
165,SGU-FP506,Fer Plat 50/6,ML,SGUIFER,141.7,170
166,SGU-FC12,Fer Carré N°12,ML,SGUIFER,70.83,85
167,SGU-RD07,Fer Rond Ø7mm,ML,SGUIFER,20.42,24.5
168,SGU-RD08,Fer Rond Ø8mm,ML,SGUIFER,26.67,32
169,SGU-RD10,Fer Rond N°10,ML,SGUIFER,35,42
170,SGU-RD12,Fer Rond N°12,ML,SGUIFER,68.33,82
171,SGU-RINOX,Fer Rond Inox Ø8mm,ML,SGUIFER,95,114
172,SGU-TN10,Tôle N°10 1/2m,Feuille,SGUIFER,250,300
173,SGU-TN12,Tôle N°12 1m×2m,Feuille,SGUIFER,250,300
174,SGU-TN14,Tôle N°14 2m×1m,Feuille,SGUIFER,275,330
175,SGU-TN15,Tôle N°15 1/2m,Feuille,SGUIFER,283.3,340
176,SGU-TN15X,Tôle N°15 3m×1.25m,Feuille,SGUIFER,569.2,683
177,SGU-TN18,Tôle N°18 3m×1.25m,Feuille,SGUIFER,750,900
178,SGU-TN20,Tôle N°20 1/2m,Feuille,SGUIFER,333.3,400
179,SGU-TN28,Tôle N°28 1/2m,Feuille,SGUIFER,525,630
180,SGU-TN5,Tôle N°05 1m×2m,Feuille,SGUIFER,116.7,140
181,SGU-TN50,Tôle N°50 1/2m,Feuille,SGUIFER,933.3,"1,120"
182,SGU-TTC10,Tôle TC N°10 1/2m,Feuille,SGUIFER,258.3,310
183,SGU-BAG,Baguette Soudure 3.5 MATICA,Paquet,SGUIFER,91.67,110
184,SGU-DAL,Dalakit,mm,SGUIFER,183.3,220
185,SGU-UPAF,UPAF Galvanisé 40×1.5,ML,SGUIFER,58.33,70
186,SGU-TIG8,Tige Galvanisée 12mm,Pièce,SGUIFER,20.83,25
187,SGU-TIG20,Tige Galvanisée 20mm,Pièce,SGUIFER,45.83,55
188,SGU-RVT,Rivet 20/5,Pièce,SGUIFER,0.3333,0.4
189,SGU-RNDILE,Rondelle 12/30,Pièce,SGUIFER,0.5833,0.7
190,SGU-ECR10,Écrou N°10,Pièce,SGUIFER,0.5833,0.7
191,SGU-ECR6,Écrou Filète 6×10,Pièce,SGUIFER,1.25,1.5
192,SGU-ECRG8,Écrou Galv 08,Pièce,SGUIFER,1.25,1.5
193,SGU-ECRG12,Écrou Galv 12,Pièce,SGUIFER,3.75,4.5
194,SGU-DBC25,Disque Coupage NORTON 125mm,Pièce,SGUIFER,10.83,13
195,SGU-DB115,Disque Abrasif 115 P40 BOSCH,Pièce,SGUIFER,14.17,17
196,SGU-DB115B,Disque Bride 115mm,Pièce,SGUIFER,11.67,14
197,SGU-DT300,Disque Transeleuse 300mm,Pièce,SGUIFER,26.67,32
198,SGU-BCH,Bouchon Carré 50×30mm,Pièce,SGUIFER,3.167,3.8
199,SGU-BCH2,Bouchon Rectangle 30×20mm,Pièce,SGUIFER,1.25,1.5
200,SGU-BCH3,Bouchon Rond 20mm,Pièce,SGUIFER,1.25,1.5
201,SGU-PAT20,Patin Plastique Ø20mm,Pièce,SGUIFER,1.25,1.5
202,SGU-PAT25,Patin Plastique Ø25mm,Pièce,SGUIFER,1.667,2
203,SGU-PAT33,Patin Plastique Ø33mm,Pièce,SGUIFER,2.5,3
204,SGU-PAT60,Patin Plastique 60mm carré,Pièce,SGUIFER,5,6
205,SGU-REG,Réglage Pied de Table,Pièce,SGUIFER,2.917,3.5
206,SGU-ROU50,Roue 50mm,Pièce,SGUIFER,5.833,7
207,SGU-ROUPLY,Roue Poly,Pièce,SGUIFER,25,30
208,SGU-SONT,Sontophir Rapid 1KG,Unité,SGUIFER,25,30
209,SGU-FIL,Fil Galvanisé,Unité,SGUIFER,20,24
210,SGU-VIS8,Vis T Ronde 8×100,Pièce,SGUIFER,7.5,9
211,SGU-TIG,Tige Vide,Pièce,SGUIFER,20,24
212,ASI-FP50,Fer Plat 50/6,kg,ASIA FER,125,150
213,ASI-TR20,Tube Ronde 20×2 6m,ML,ASIA FER,58.33,70
214,IKH-FP50,Fer Plat 50/6,kg,IKHWAN FER SARL,141.7,170
215,IKH-RD08,Fer Ronde Ø8mm,ML,IKHWAN FER SARL,20.83,25
216,ROY-CU8,Cuivre Ø8mm,Pièce,ROY METAL,945,"1,134"
217,ROY-FA,Fil Alliance (maillechort),Pièce,ROY METAL,91.67,110
218,ROY-TC12,Tube Cuivre 12mm,ML,ROY METAL,62.5,75
219,ROY-ECR,Écrou Tige Vide,Pièce,ROY METAL,0.4167,0.5
220,ROY-TIG,Tige Vide,Pièce,ROY METAL,10.83,13
221,DRO-APB5,Apprêt Blanc 5KG,Unité,DROGERIE AL MASSAR,141.7,170
222,DRO-APF1,Apprêt Filler 1KG,Unité,DROGERIE AL MASSAR,95.83,115
223,DRO-PBM5,Peinture Blanc Mat 5KG,Unité,DROGERIE AL MASSAR,225,270
224,DRO-PBN,Peinture Blanc Neige Cellulo 1KG,Unité,DROGERIE AL MASSAR,54.17,65
225,DRO-PBC1,Peinture Blanc Cassé 1KG,Unité,DROGERIE AL MASSAR,50,60
226,DRO-PCH1,Peinture Champagne 1KG ATLAS,Unité,DROGERIE AL MASSAR,66.67,80
227,DRO-PBE,Peinture Beige 1KG ATLAS,Unité,DROGERIE AL MASSAR,50,60
228,DRO-PGF,Peinture Gris Fumé 1KG,Unité,DROGERIE AL MASSAR,50,60
229,DRO-PVJ,Peinture Vert Jardin 1KG,Unité,DROGERIE AL MASSAR,54.17,65
230,DRO-PMC,Peinture Marron Cellulo 1KG,Unité,DROGERIE AL MASSAR,54.17,65
231,DRO-PNM5,Peinture Noir Mat Cellulo 5KG ATLAS,Unité,DROGERIE AL MASSAR,233.3,280
232,DRO-PRF,Peinture Rouge Ford 1KG ATLAS,Unité,DROGERIE AL MASSAR,54.17,65
233,DRO-PBL,Peinture Blanc Cellulo 5KG,Unité,DROGERIE AL MASSAR,225,270
234,DRO-PCL,Peinture Cellulosique 1KG,Unité,DROGERIE AL MASSAR,54.17,65
235,DRO-PLK,Peinture Luky Cellulo 5KG,Unité,DROGERIE AL MASSAR,233.3,280
236,DRO-ND5,Noir Diamant 5KG ATLAS,Unité,DROGERIE AL MASSAR,225,270
237,DRO-NDS,Noir Diamant 5KG SODECSO,Unité,DROGERIE AL MASSAR,225,270
238,DRO-VA1,Vernis Mat 1KG,Unité,DROGERIE AL MASSAR,41.67,50
